feature,importance_mean,importance_std,feature_type
max_delinquency,0.062399716919867676,0.0041714404899198506,engineered
mean_payment_amount,0.028762112222227548,0.0030380824936750784,engineered
pay_0,0.02619395504421749,0.0023301015583278026,original
limit_bal,0.022520508957243158,0.0028737403403744986,original
bill_amt2,0.013706519406083395,0.0022203732699087523,original
payment_amount_std,0.004120489831514718,0.001349700280347323,engineered
delinquent_months,0.0036533366574904246,0.0007255474166896628,engineered
education,0.0016413132505660344,0.00110710401064974,original
pay_3,0.0014310149004907124,0.0006987213920316577,original
severe_delinquent_months,0.0004717289964912552,0.0003994454631120481,engineered
