feature,feature_value,shap_contribution,abs_shap_contribution,feature_type
max_delinquency,3.0,0.17064633992475065,0.17064633992475065,engineered
delinquent_months,6.0,0.12964645514277048,0.12964645514277048,engineered
severe_delinquent_months,5.0,0.02145966344332336,0.02145966344332336,engineered
mean_payment_amount,1166.6666666666667,0.021017719405253217,0.021017719405253217,engineered
limit_bal,50000.0,0.01975235285092405,0.01975235285092405,original
bill_amt2,27069.0,-0.017643537485601817,0.017643537485601817,original
pay_0,1.0,0.012537568699578516,0.012537568699578516,original
pay_3,2.0,-0.006432162414985168,0.006432162414985168,original
payment_amount_std,1343.709624716425,-0.0053995647268151176,0.0053995647268151176,engineered
education,1.0,0.005097674973318853,0.005097674973318853,original
